Plasmid,Concentration,Replicate,mCherry,GFP
pLac,0.001,2,2.2163126710181147,2.575927713650085
pLac,0.001,2,1.8203317521247653,2.3389864747457283
pLac,0.001,2,2.601434972344076,2.583496479787721
pLac,0.001,2,1.5674560220357685,2.7983340063269377
pLac,0.001,2,1.8428731162229923,2.4518073711039348
pLac,0.001,2,2.4048711281571524,2.91813092354212
pLac,0.001,2,2.0139521495767245,2.4701881748748407
pLac,0.001,2,2.1500883977943643,2.738153451731609
pLac,0.001,2,1.6127878452222115,2.5494201446735425
pLac,0.001,2,1.7356526392265137,2.7711037736239064
pLac,0.001,2,1.2802389278884794,2.4761550475566096
pLac,0.001,2,1.8643233324901105,2.8122219580526053
pLac,0.001,2,1.3945134205691725,2.2433428792535035
pLac,0.001,2,2.2626947742296992,2.785827369785713
pLac,0.001,2,1.509245546706329,2.646522845478188
pLac,0.001,2,2.2210194546839723,2.5863028863533923
pLac,0.001,2,2.7477213225322537,2.490166702469143
pLac,0.001,2,1.6189012933635818,2.1800989937070843
pLac,0.001,2,1.8317457209948085,1.8017484912122008
pLac,0.001,2,2.089332259929033,2.583496479787721
pLac,0.001,2,1.966700799946024,2.4832143566895684
pLac,0.001,2,2.4357247867927643,2.6134614657865898
pLac,0.001,2,2.2178871592217004,2.527689439242748
pLac,0.001,2,1.1780667014472117,2.3193886472122194
pLac,0.001,2,2.350083202369257,2.2021631501874506
pLac,0.001,2,2.023801842998544,2.7846182886036264
pLac,0.001,2,2.1217278958849377,1.7860150855248549
pLac,0.001,2,2.198613776477884,2.2550090850341653
pLac,0.001,2,2.6125404986245484,2.472584243207899
pLac,0.001,2,1.775770073290584,1.8268282875275017
pLac,0.001,2,2.214732569653984,2.0225346215036017
pLac,0.001,2,2.3859183039583267,2.408574504573654
pLac,0.001,2,2.5435725284131308,1.9720611459966968
pLac,0.001,2,1.8572879790077648,2.6570343158337977
pLac,0.001,2,1.7067368680053523,2.3484801798221566
pLac,0.001,2,1.509245546706329,1.9272601205826425
pLac,0.001,2,1.9138041731126003,2.5026453614460697
pLac,0.001,2,2.1445596197015764,2.3974504193158785
pLac,0.001,2,1.721430521808209,2.8144962925384758
pLac,0.001,2,1.780011425878984,2.685697309870752
pLac,0.001,2,1.2533690064867242,2.6090452041388312
pLac,0.001,2,1.9468730481953391,2.5104131946043102
pLac,0.001,2,2.103797533264525,2.5147936196921323
pLac,0.001,2,1.5742228399369165,2.9559012726638465
pLac,0.001,2,1.9830174141310803,2.304120641997301
pLac,0.001,2,1.60030200651124,2.821810976638931
pLac,0.001,2,2.028645803379581,2.0794025782278087
pLac,0.001,2,1.670429727833249,2.678888257653244
pLac,0.001,2,2.707423641220094,2.20000387070566
pLac,0.001,2,1.846521021286467,2.66887106962587
pLac,0.001,2,1.7356526392265137,2.247264664180092
pLac,0.001,2,1.8354859791678109,2.713382133472171
pLac,0.001,2,2.1217278958849377,1.923321503754836
pLac,0.001,2,1.125863144283096,2.266386016028934
pLac,0.001,2,1.3522702368032804,2.0257100393193563
pLac,0.001,2,1.593924659604581,2.3160393911511177
pLac,0.001,2,2.01890435711014,2.4592482808103595
pLac,0.001,2,1.78421257546829,2.5015248577314773
pLac,0.001,2,1.6065888915412287,2.065107152769833
pLac,0.001,2,1.7067368680053523,2.63910199300768
pLac,0.001,2,1.7583867486912086,2.5202109912755204
pLac,0.001,2,1.4142152402368375,2.708406217470861
pLac,0.001,2,1.9351314883548318,2.602790146607519
pLac,0.001,2,2.095589558632573,2.651404232399534
pLac,0.001,2,1.7448866807888963,2.3653909931331225
pLac,0.001,2,1.853727976227964,2.5909424207559257
pLac,0.001,2,1.5874542094598512,2.4099462426449305
pLac,0.001,2,1.468554791719212,2.484380420959063
pLac,0.001,2,1.916914487373032,2.4455130879996214
pLac,0.001,2,2.6099523571784315,2.5613907203415733
